idea_id,title,body,좋아요,싫어요
idea_001,로봇 바리스타 카페,무인 로봇 팔이 주문과 커피 제조를 담당해 24시간 운영하는 스마트 카페 아이디어.,39,17
idea_002,반려동물 1인 미용실,셀프 그루밍 부스와 전문가 예약 서비스를 결합한 동네 소형 반려동물 미용실.,1,23
idea_003,지역 커뮤니티 코워킹 스페이스,"주민 대상 저렴한 구독제를 제공하며, 소규모 창업·스터디 모임을 지원하는 공유 오피스.",32,34
idea_004,주말 농부 직거래 마켓,"동네 공터에서 열리는 팝업 직거래 장터, 지역 소농·주말 농부가 직접 채소·잼을 판매.",8,24
idea_005,VR 체험형 게임 센터,가상현실 헤드셋과 모션 트래킹 기기를 갖춘 체험형 e스포츠·파티룸.,16,26
idea_006,제로웨이스트 리필 스토어,샴푸·세제·곡물 등을 필요한 만큼 담는 용기 재사용형 무포장 상점.,38,45
idea_007,모바일 헬스 진료버스,"주 3회 구동되는 이동형 클리닉 버스, 혈압·혈당·간단 진료 서비스를 제공.",14,19
idea_008,옥상 도시농장 카페,빌딩 옥상에 텃밭과 카페를 결합해 직접 재배한 허브·채소로 메뉴를 제공.,41,10
idea_009,24시간 스터디 카페 + 카운슬링,무인 스터디 공간에 심리 상담 예약 부스를 결합한 학습 지원 카페.,37,23
idea_010,전기 자전거 공유 스테이션,"동네 골목 단거리 이동 특화, 충전·정비까지 자동화된 전기 자전거 공유 서비스.",34,16
idea_0011,공유 스테이션,"공유 스테이션을(를) 통해 지역 사회에 새로운 가치를 제공하고, 주민 참여와 지속가능성을 융합하여 로컬 경제 활성화를 목표로 하는 프로젝트입니다.",30,16
idea_0012,리사이클 클래스,"리사이클 클래스을(를) 통해 지역 사회에 새로운 가치를 제공하고, 주민 참여와 지속가능성을 융합하여 로컬 경제 활성화를 목표로 하는 프로젝트입니다.",20,1
idea_0013,문화 클래스,"문화 클래스을(를) 통해 지역 사회에 새로운 가치를 제공하고, 주민 참여와 지속가능성을 융합하여 로컬 경제 활성화를 목표로 하는 프로젝트입니다.",1,12
idea_0014,반려동물 플랫폼,"반려동물 플랫폼을(를) 통해 지역 사회에 새로운 가치를 제공하고, 주민 참여와 지속가능성을 융합하여 로컬 경제 활성화를 목표로 하는 프로젝트입니다.",9,40
idea_0015,리사이클 라운지,"리사이클 라운지을(를) 통해 지역 사회에 새로운 가치를 제공하고, 주민 참여와 지속가능성을 융합하여 로컬 경제 활성화를 목표로 하는 프로젝트입니다.",37,21
